序号,项目名称,启动年度,完成年度,成果状态,所属机构,项目类型
0,嫦娥一号,2007,2009,已完成,中国国家航天局（CNSA）,月球探测卫星
1,嫦娥二号,2010,2011,已完成,中国国家航天局（CNSA）,月球探测卫星
2,嫦娥三号,2013,2016,已完成,中国国家航天局（CNSA）,月球探测卫星
3,嫦娥四号,2018,2021,已完成,中国国家航天局（CNSA）,月球探测卫星
4,嫦娥五号,2020,2020,已完成,中国国家航天局（CNSA）,月球探测卫星
5,嫦娥五号T1,2014,2014,已完成,中国国家航天局（CNSA）,月球探测卫星
6,嫦娥六号,2023,2024,已完成,中国国家航天局（CNSA）,月球探测卫星
7,长征一号,1965,1970,已完成,中国航天科技集团有限公司（CASC）,运载火箭
8,长征二号,1974,1975,已完成,中国航天科技集团有限公司（CASC）,运载火箭
9,长征三号,1975,1984,已完成,中国航天科技集团有限公司（CASC）,运载火箭
10,长征四号,1988,2024,已完成,中国航天科技集团有限公司（CASC）,运载火箭
11,长征五号,2006,2016,已完成,中国航天科技集团有限公司（CASC）,运载火箭
12,长征六号,2015,2025,已完成,中国航天科技集团有限公司（CASC）,运载火箭
13,长征七号,2010,,持续运行,中国航天科技集团有限公司（CASC）,运载火箭
14,长征十一号,2015,,持续运行,中国航天科技集团有限公司（CASC）,运载火箭
15,高分一号,2013,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
16,高分二号,2014,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
17,高分三号,2016,,持续运行,中国航天科技集团有限公司（CASC）,雷达遥感卫星
18,高分四号,2015,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
19,高分五号,2018,,持续运行,中国航天科技集团有限公司（CASC）,高光谱遥感卫星
20,高分六号,2018,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
21,高分七号,2019,,持续运行,中国航天科技集团有限公司（CASC）,立体测绘遥感卫星
22,高分八号,2015,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
23,高分九号,2015,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
24,高分十号,2019,,持续运行,中国航天科技集团有限公司（CASC）,微波遥感卫星
25,高分十一号,2018,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
26,高分十二号,2019,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
27,高分十三号,2020,,持续运行,中国航天科技集团有限公司（CASC）,光学遥感卫星
28,高分十四号,2020,,持续运行,中国航天科技集团有限公司（CASC）,立体测绘遥感卫星
29,天问一号,2016,2022,已完成,中国空间技术研究院,火星探测器
30,天和核心舱,2010,2021,已完成,中国航天科技集团五院,空间站
31,问天实验舱,2010,2022,已完成,中国航天科技集团五院,空间站
32,北斗卫星导航系统,2000,2020,已完成,中国卫星导航系统管理办公室,卫星导航系统
33,中国空间站（天宫）,1992,,持续运行,中国载人航天工程办公室,空间站
34,羲和号,2021,,持续运行,中国科学院,太阳探测卫星
35,悟空号,2015,,持续运行,中国科学院,暗物质探测卫星
36,神舟五号,2003,2003,已完成,中国载人航天工程办公室,载人航天飞船
37,神舟七号,2008,2008,已完成,中国载人航天工程办公室,载人航天飞船
38,天舟一号,2017,2017,已完成,中国载人航天工程办公室,货运飞船
39,风云四号A星,2016,,持续运行,国家卫星气象中心,气象卫星
40,风云三号,2008,,持续运行,中国航天科技集团有限公司（CASC）,气象卫星
41,实践十号,2016,2016,已完成,中国航天科技集团有限公司（CASC）,科学实验卫星
42,实践二十号,2019,,持续运行,中国航天科技集团有限公司（CASC）,通信技术试验卫星
43,快舟一号甲,2017,,持续运行,中国航天科工集团有限公司（CASIC）,运载火箭
44,快舟十一号,2022,,持续运行,中国航天科工集团有限公司（CASIC）,运载火箭
45,墨子号,2016,,持续运行,中国科学院,科学实验卫星
46,梦天实验舱,2022,2022,已完成,中国航天科技集团,空间站
47,捷龙三号,2022,,持续运行,中国航天科技集团有限公司（CASC）,运载火箭
48,鸿雁星座,2018,,持续运行,中国航天科技集团有限公司（CASC）,卫星通信系统
